MAG,clean_MAG,contig
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_51788
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_186194
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1651544
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_946704
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_146788
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_605243
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_808864
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1289626
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1186390
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1131935
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1285659
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1628270
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_497500
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_647855
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1640892
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_263554
