MAG,clean_MAG
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_modified,MAG_2
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_12_modified,MAG_3
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_14_modified,MAG_4
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_15_modified,MAG_5
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_16_modified,MAG_6
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_18_modified,MAG_7
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_19_modified,MAG_8
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_20_modified,MAG_9
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_22_modified,MAG_10
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_24_modified,MAG_11
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_25_modified,MAG_12
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_26_modified,MAG_13
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_27_modified,MAG_14
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_28_modified,MAG_15
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_2_modified,MAG_16
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_30_modified,MAG_17
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_31_modified,MAG_18
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_32_modified,MAG_19
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_33_modified,MAG_20
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_34_modified,MAG_21
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_35_modified,MAG_22
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_38_modified,MAG_23
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_39_modified,MAG_24
