vOTU,domain,realm,kingdom,phylum,class,order,family,viral_tax
080613_5_ph_rerun_k141_932478,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_466319,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_116828,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_583395,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
cn_080613_5_ph_rerun_000000000201,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_1399476,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
cn_080613_5_ph_rerun_000000000002,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_1749478,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
cn_080613_5_ph_rerun_000000000578,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_1283225,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_234439,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_584302,Viruses,Monodnaviria,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Inoviridae
080613_5_ph_rerun_k141_1516470,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_1324,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_1283552,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_1750128,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
cn_080613_5_ph_rerun_000000000109,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_700884,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_1400497,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_352084,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
cn_080613_5_ph_rerun_000000000355,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_1517376,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
cn_080613_5_ph_rerun_000000000611,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_1634036,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_1401122,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_1401281,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_817925,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
cn_080613_5_ph_rerun_000000000598,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_1751446,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
cn_080613_5_ph_rerun_000000000060,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
cn_080613_5_ph_rerun_000000000286,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_1751820,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_1751880,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_935811,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_17_k141_468877,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_702425,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_1285182,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_1052049,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
cn_080613_5_ph_rerun_000000000148,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
cn_080613_5_ph_rerun_000000000385,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_120540,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
cn_080613_5_ph_rerun_000000000562,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
cn_080613_5_ph_rerun_000000000193,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_818932,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_113_k141_1402132,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_353329,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_1402162,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
cn_080613_5_ph_rerun_000000000014,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
cn_080613_5_ph_rerun_000000000358,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
cn_080613_5_ph_rerun_000000000609,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
cn_080613_5_ph_rerun_000000000393,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_1635453,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_2991,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_1169517,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
cn_080613_5_ph_rerun_000000000335,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
cn_080613_5_ph_rerun_000000000256,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_469998,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_81_k141_470115,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
cn_080613_5_ph_rerun_000000000186,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
cn_080613_5_ph_rerun_000000000245,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_1520396,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_1402779,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_102_k141_3941,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_937676,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
cn_080613_5_ph_rerun_000000000527,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
cn_080613_5_ph_rerun_000000000270,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_237679,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
