clean_MAG,domain,phylum,host_family,vOTU,viral_tax,iphop,phase,lifestyle,bat_host,vgroup,num_votu,num_mags
MAG_1,Bacteria,Actinomycetota,Mycobacteriaceae,cn_080613_5_ph_rerun_000000000384,Caudoviricetes; Unclassified order,0,1,lytic,unknown,vgroup_154,25,20
MAG_1,Bacteria,Actinomycetota,Mycobacteriaceae,cn_080613_5_ph_rerun_000000000389,Caudoviricetes; Unclassified order,0,1,lytic,unknown,vgroup_154,25,20
MAG_3,Bacteria,Pseudomonadota,Pseudomonadaceae,cn_080613_5_ph_rerun_000000000073,Caudoviricetes; Unclassified order,1,1,lytic,unknown,vgroup_184,12,1
MAG_3,Bacteria,Pseudomonadota,Pseudomonadaceae,cn_080613_5_ph_rerun_000000000580,Caudoviricetes; Unclassified order,0,1,lytic,unknown,vgroup_184,12,1
MAG_3,Bacteria,Pseudomonadota,Pseudomonadaceae,cn_080613_5_ph_rerun_000000000048,Caudoviricetes; Unclassified order,0,1,lytic,unknown,vgroup_184,12,1
MAG_3,Bacteria,Pseudomonadota,Pseudomonadaceae,cn_080613_5_ph_rerun_000000000507,Caudoviricetes; Unclassified order,0,1,lytic,unknown,vgroup_184,12,1
MAG_3,Bacteria,Pseudomonadota,Pseudomonadaceae,cn_080613_5_ph_rerun_000000000449,Caudoviricetes; Unclassified order,0,1,lytic,unknown,vgroup_184,12,1
MAG_3,Bacteria,Pseudomonadota,Pseudomonadaceae,cn_080613_5_ph_rerun_000000000358,Caudoviricetes; Unclassified order,0,1,lytic,unknown,vgroup_184,12,1
MAG_3,Bacteria,Pseudomonadota,Pseudomonadaceae,cn_080613_5_ph_rerun_000000000441,Caudoviricetes; Unclassified order,0,1,lytic,unknown,vgroup_184,12,1
MAG_3,Bacteria,Pseudomonadota,Pseudomonadaceae,cn_080613_5_ph_rerun_000000000286,Caudoviricetes; Unclassified order,0,1,lytic,unknown,vgroup_184,12,1
