MAG,domain,phylum,host_family,genus,species,vOTU,iphop,phase,method_iphop,viral_tax,checkv_quality,lifestyle,lifestyle_prediction_method
MAG_1,Bacteria,Actinomycetota,Mycobacteriaceae,Gordonia,,cn_080613_5_ph_rerun_000000000384,FALSE,TRUE,NA,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_1,Bacteria,Actinomycetota,Mycobacteriaceae,Gordonia,,cn_080613_5_ph_rerun_000000000389,FALSE,TRUE,NA,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_3,Bacteria,Pseudomonadota,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,cn_080613_5_ph_rerun_000000000073,TRUE,TRUE,blast,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_3,Bacteria,Pseudomonadota,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,cn_080613_5_ph_rerun_000000000580,FALSE,TRUE,NA,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_3,Bacteria,Pseudomonadota,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,cn_080613_5_ph_rerun_000000000048,FALSE,TRUE,NA,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_3,Bacteria,Pseudomonadota,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,cn_080613_5_ph_rerun_000000000507,FALSE,TRUE,NA,Caudoviricetes; Unclassified order,Complete,lytic,checkv & bacphlip
MAG_3,Bacteria,Pseudomonadota,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,cn_080613_5_ph_rerun_000000000449,FALSE,TRUE,NA,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_3,Bacteria,Pseudomonadota,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,cn_080613_5_ph_rerun_000000000358,FALSE,TRUE,NA,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_3,Bacteria,Pseudomonadota,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,cn_080613_5_ph_rerun_000000000441,FALSE,TRUE,NA,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_3,Bacteria,Pseudomonadota,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,cn_080613_5_ph_rerun_000000000286,FALSE,TRUE,NA,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_3,Bacteria,Pseudomonadota,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,cn_080613_5_ph_rerun_000000000474,FALSE,TRUE,NA,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_3,Bacteria,Pseudomonadota,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,cn_080613_5_ph_rerun_000000000173,FALSE,TRUE,NA,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_3,Bacteria,Pseudomonadota,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,cn_080613_5_ph_rerun_000000000212,FALSE,TRUE,NA,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_3,Bacteria,Pseudomonadota,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,cn_080613_5_ph_rerun_000000000067,FALSE,TRUE,NA,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_4,Bacteria,Actinomycetota,Propionibacteriaceae,Microlunatus_A,,080613_5_ph_rerun_k141_927247,TRUE,FALSE,blast,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_5,Bacteria,Actinomycetota,Dermatophilaceae,Janibacter,,cn_080613_5_ph_rerun_000000000490,FALSE,TRUE,NA,Caudoviricetes; Unclassified order,Medium-quality,lysogenic,bacphlip
MAG_5,Bacteria,Actinomycetota,Dermatophilaceae,Janibacter,,cn_080613_5_ph_rerun_000000000233,FALSE,TRUE,NA,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_5,Bacteria,Actinomycetota,Dermatophilaceae,Janibacter,,cn_080613_5_ph_rerun_000000000298,FALSE,TRUE,NA,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_6,Bacteria,Actinomycetota,Jatrophihabitantaceae,FW021-bin43,,080613_5_ph_rerun_k141_1099781,TRUE,FALSE,blast,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_6,Bacteria,Actinomycetota,Jatrophihabitantaceae,FW021-bin43,,cn_080613_5_ph_rerun_000000000246,FALSE,TRUE,NA,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_7,Bacteria,Actinomycetota,Dermatophilaceae,Flexivirga,,cn_080613_5_ph_rerun_000000000012,TRUE,FALSE,blast,Caudoviricetes; Unclassified order,Medium-quality,lysogenic,bacphlip
