domain,phylum,host_family,viral_tax,vgroup,lifestyle,num_votu,num_mags,iphop,phase,Prediction
Bacteria,Verrucomicrobiota,Akkermansiaceae,Caudoviricetes; Unclassified order,vgroup_13,lysogenic,1,1,FALSE,TRUE,phase
Bacteria,Verrucomicrobiota,Akkermansiaceae,Unclassified,vgroup_14,lysogenic,1,1,TRUE,FALSE,iphop
Bacteria,Actinomycetota,Pseudonocardiaceae,Caudoviricetes; Unclassified order,vgroup_157,lysogenic,1,1,FALSE,TRUE,phase
Bacteria,Planctomycetota,Thermoguttaceae,Caudoviricetes; Unclassified order,vgroup_189,lysogenic,1,1,TRUE,TRUE,both
Bacteria,Deinococcota,Trueperaceae,Caudoviricetes; Unclassified order,vgroup_191,lysogenic,1,1,FALSE,TRUE,phase
Bacteria,Desulfobacterota,UBA2174_A,Caudoviricetes; Unclassified order,vgroup_194,lysogenic,1,1,FALSE,TRUE,phase
Bacteria,Pseudomonadota,Burkholderiaceae_A,Unclassified,vgroup_32,lysogenic,1,1,TRUE,FALSE,iphop
Bacteria,Bacillota_A,CAG-74,Caudoviricetes; Unclassified order,vgroup_33,lysogenic,1,1,TRUE,FALSE,iphop
Bacteria,Bacillota_A,Clostridiaceae,Caudoviricetes; Unclassified order,vgroup_39,lysogenic,1,1,TRUE,FALSE,iphop
Bacteria,Desulfobacterota,Desulfobulbaceae,Unclassified,vgroup_50,lysogenic,1,1,TRUE,FALSE,iphop
Bacteria,Bacillota,Erysipelotrichaceae,Unclassified,vgroup_80,lysogenic,1,1,TRUE,FALSE,iphop
Bacteria,Pseudomonadota,Acetobacteraceae,Unclassified,vgroup_1,lytic,1,1,TRUE,FALSE,iphop
Bacteria,Bacillota,Lactobacillales; Unclassified family,Unclassified,vgroup_111,lytic,1,1,TRUE,FALSE,iphop
Bacteria,Bacillota_A,MGBC116941,Caudoviricetes; Unclassified order,vgroup_112,lytic,1,1,FALSE,TRUE,phase
Bacteria,Bacillota,Aerococcaceae,Unclassified,vgroup_12,lytic,1,1,TRUE,FALSE,iphop
Bacteria,Actinomycetota,Antricoccaceae,Unclassified,vgroup_16,lytic,1,1,TRUE,FALSE,iphop
Bacteria,Pseudomonadota,Rhodocyclaceae,Unclassified,vgroup_161,lytic,1,1,TRUE,FALSE,iphop
Bacteria,Actinomycetota,Streptosporangiaceae,Caudoviricetes; Unclassified order,vgroup_188,lytic,1,1,FALSE,TRUE,phase
Bacteria,Deinococcota,Trueperaceae,Herelleviridae; Unclassified family,vgroup_193,lytic,1,1,FALSE,TRUE,phase
Bacteria,Pseudomonadota,Burkholderiaceae,Caudoviricetes; Unclassified order,vgroup_28,lytic,1,1,TRUE,FALSE,iphop
Bacteria,Pseudomonadota,Burkholderiaceae,Unclassified,vgroup_30,lytic,1,1,TRUE,FALSE,iphop
Bacteria,Bacillota_A,Clostridiaceae,Caudoviricetes; Unclassified order,vgroup_40,lytic,1,1,TRUE,FALSE,iphop
Bacteria,Actinomycetota,Dermabacteraceae,Unclassified,vgroup_43,lytic,1,1,TRUE,FALSE,iphop
Bacteria,Desulfobacterota,Desulfobulbaceae,Caudoviricetes; Unclassified order,vgroup_49,lytic,1,1,FALSE,TRUE,phase
Bacteria,Bacillota,Aerococcaceae,Caudoviricetes; Unclassified order,vgroup_dub_548,lytic,1,1,TRUE,FALSE,iphop
Bacteria,Verrucomicrobiota,Akkermansiaceae,Unclassified,vgroup_15,unclear,1,1,TRUE,FALSE,iphop
Bacteria,Bacillota_A,CAG-74,Caudoviricetes; Unclassified order,vgroup_35,unclear,1,1,TRUE,TRUE,both
Bacteria,Bacteroidota,Dysgonomonadaceae,Caudoviricetes; Unclassified order,vgroup_62,unclear,1,1,FALSE,TRUE,phase
Bacteria,Pseudomonadota,Pseudomonadaceae,Caudoviricetes; Unclassified order,vgroup_156,lytic,12,1,TRUE,TRUE,both
Bacteria,Pseudomonadota,Beijerinckiaceae,Caudoviricetes; Unclassified order,vgroup_17,lysogenic,2,1,FALSE,TRUE,phase
Bacteria,Chloroflexota,UBA6265,Caudoviricetes; Unclassified order,vgroup_195,lysogenic,2,1,FALSE,TRUE,phase
Bacteria,Pseudomonadota,Burkholderiaceae,Unclassified,vgroup_29,lysogenic,2,1,TRUE,FALSE,iphop
Bacteria,Actinomycetota,Dermabacteraceae,Caudoviricetes; Unclassified order,vgroup_41,lysogenic,2,1,TRUE,TRUE,both
Bacteria,Actinomycetota,Jatrophihabitantaceae,Caudoviricetes; Unclassified order,vgroup_101,lytic,2,1,TRUE,TRUE,both
Bacteria,Planctomycetota,Thermoguttaceae,Caudoviricetes; Unclassified order,vgroup_190,lytic,2,1,FALSE,TRUE,phase
Bacteria,Bacillota_A,CAG-74,Caudoviricetes; Unclassified order,vgroup_34,lytic,2,1,TRUE,TRUE,both
Bacteria,Desulfobacterota,Desulfobulbaceae,Unclassified,vgroup_51,lytic,2,1,TRUE,FALSE,iphop
Bacteria,Bacteroidota,Dysgonomonadaceae,Caudoviricetes; Unclassified order,vgroup_61,lytic,2,1,FALSE,TRUE,phase
Bacteria,Bacillota,Aerococcaceae,Unclassified,vgroup_11,lysogenic,3,1,TRUE,FALSE,iphop
Bacteria,Pseudomonadota,Beijerinckiaceae,Caudoviricetes; Unclassified order,vgroup_18,lytic,3,1,FALSE,TRUE,phase
Bacteria,Actinomycetota,Dermabacteraceae,Caudoviricetes; Unclassified order,vgroup_42,lytic,3,1,TRUE,TRUE,both
Bacteria,Chloroflexota,UBA6265,Caudoviricetes; Unclassified order,vgroup_196,lytic,4,1,TRUE,TRUE,both
Bacteria,Pseudomonadota,Burkholderiaceae_A,Caudoviricetes; Unclassified order,vgroup_31,lytic,4,1,TRUE,TRUE,both
Bacteria,Bacillota_A,Acutalibacteraceae,Caudoviricetes; Unclassified order,vgroup_7,lytic,5,1,TRUE,TRUE,both
Bacteria,Deinococcota,Trueperaceae,Caudoviricetes; Unclassified order,vgroup_192,lytic,8,1,FALSE,TRUE,phase
Bacteria,Actinomycetota,Nocardioidaceae,Autographiviridae; Unclassified family,vgroup_137,lytic,1,10,FALSE,TRUE,phase
Bacteria,Actinomycetota,Nocardioidaceae,Caudoviricetes; Unclassified order,vgroup_140,unclear,1,10,FALSE,TRUE,phase
Bacteria,Actinomycetota,Nocardioidaceae,Caudoviricetes; Unclassified order,vgroup_139,lytic,19,10,TRUE,TRUE,both
Bacteria,Actinomycetota,Nocardioidaceae,Unclassified,vgroup_141,lytic,3,10,TRUE,FALSE,iphop
Bacteria,Actinomycetota,Nocardioidaceae,Caudoviricetes; Unclassified order,vgroup_138,lysogenic,4,10,TRUE,TRUE,both
Bacteria,Bacillota,Enterococcaceae,Caudoviricetes; Unclassified order,vgroup_dub_195,lysogenic,1,15,TRUE,FALSE,iphop
Bacteria,Bacillota,Enterococcaceae,Phycodnaviridae,vgroup_75,lytic,1,15,TRUE,FALSE,iphop
Bacteria,Bacillota,Enterococcaceae,Caudoviricetes; Unclassified order,vgroup_dub_533,lytic,1,15,TRUE,FALSE,iphop
Bacteria,Bacillota,Enterococcaceae,Unclassified,vgroup_78,lytic,16,15,TRUE,FALSE,iphop
Bacteria,Bacillota,Enterococcaceae,Herelleviridae; Unclassified family,vgroup_74,lytic,2,15,TRUE,FALSE,iphop
Bacteria,Bacillota,Enterococcaceae,Rountreeviridae; Unclassified family,vgroup_76,lytic,2,15,TRUE,TRUE,both
Bacteria,Bacillota,Enterococcaceae,Caudoviricetes; Unclassified order,vgroup_71,lysogenic,23,15,TRUE,TRUE,both
Bacteria,Bacillota,Enterococcaceae,Unclassified,vgroup_77,lysogenic,23,15,TRUE,FALSE,iphop
Bacteria,Bacillota,Enterococcaceae,Caudoviricetes; Unclassified order,vgroup_73,unclear,3,15,TRUE,TRUE,both
Bacteria,Bacillota,Enterococcaceae,Unclassified,vgroup_79,unclear,3,15,TRUE,FALSE,iphop
Bacteria,Bacillota,Enterococcaceae,Caudoviricetes; Unclassified order,vgroup_72,lytic,74,15,TRUE,TRUE,both
Bacteria,Actinomycetota,Micromonosporaceae,Caudoviricetes; Unclassified order,vgroup_120,lysogenic,1,2,FALSE,TRUE,phase
Bacteria,Actinomycetota,Nakamurellaceae,Caudoviricetes; Unclassified order,vgroup_132,lysogenic,1,2,FALSE,TRUE,phase
Bacteria,Actinomycetota,Nakamurellaceae,Unclassified,vgroup_135,lysogenic,1,2,TRUE,FALSE,iphop
Bacteria,Actinomycetota,Beutenbergiaceae,Caudoviricetes; Unclassified order,vgroup_19,lysogenic,1,2,FALSE,TRUE,phase
Bacteria,Actinomycetota,Beutenbergiaceae,Unclassified,vgroup_21,lysogenic,1,2,TRUE,FALSE,iphop
Bacteria,Bacillota_A,Christensenellaceae,Caudoviricetes; Unclassified order,vgroup_36,lysogenic,1,2,FALSE,TRUE,phase
Bacteria,Bacillota_A,Christensenellaceae,Unclassified,vgroup_38,lysogenic,1,2,TRUE,FALSE,iphop
Bacteria,Desulfobacterota,Adiutricaceae,Caudoviricetes; Unclassified order,vgroup_8,lysogenic,1,2,FALSE,TRUE,phase
Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,Mimiviridae,vgroup_98,lysogenic,1,2,TRUE,FALSE,iphop
Bacteria,Actinomycetota,Nakamurellaceae,Unclassified,vgroup_dub_163,lysogenic,1,2,TRUE,FALSE,iphop
Bacteria,Actinomycetota,Geodermatophilaceae,Caudoviricetes; Unclassified order,vgroup_dub_226,lysogenic,1,2,TRUE,FALSE,iphop
Archaea,Methanobacteriota,Methanobacteriaceae,Caudoviricetes; Unclassified order,vgroup_113,lytic,1,2,TRUE,FALSE,iphop
Archaea,Methanobacteriota,Methanobacteriaceae,Mimiviridae,vgroup_114,lytic,1,2,TRUE,FALSE,iphop
Archaea,Methanobacteriota,Methanobacteriaceae,Unclassified,vgroup_115,lytic,1,2,TRUE,FALSE,iphop
Bacteria,Actinomycetota,Micromonosporaceae,Unclassified,vgroup_123,lytic,1,2,TRUE,FALSE,iphop
Bacteria,Actinomycetota,Nakamurellaceae,Unclassified,vgroup_136,lytic,1,2,TRUE,FALSE,iphop
Bacteria,Pseudomonadota,Pasteurellaceae,Kyanoviridae; Unclassified family,vgroup_144,lytic,1,2,TRUE,FALSE,iphop
Bacteria,Pseudomonadota,Pasteurellaceae,Unclassified,vgroup_146,lytic,1,2,TRUE,FALSE,iphop
Bacteria,Pseudomonadota,Rhizobiaceae,Kyanoviridae; Unclassified family,vgroup_158,lytic,1,2,TRUE,FALSE,iphop
Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,Phycodnaviridae,vgroup_99,lytic,1,2,TRUE,FALSE,iphop
Bacteria,Actinomycetota,Streptomycetaceae,Caudoviricetes; Unclassified order,vgroup_dub_572,lytic,1,2,TRUE,FALSE,iphop
Bacteria,Actinomycetota,Micromonosporaceae,Caudoviricetes; Unclassified order,vgroup_dub_595,lytic,1,2,TRUE,FALSE,iphop
Bacteria,Actinomycetota,Micromonosporaceae,Caudoviricetes; Unclassified order,vgroup_dub_780,lytic,1,2,TRUE,FALSE,iphop
Bacteria,Actinomycetota,Nakamurellaceae,Caudoviricetes; Unclassified order,vgroup_dub_780,lytic,1,2,FALSE,TRUE,phase
Bacteria,Actinomycetota,Micromonosporaceae,Caudoviricetes; Unclassified order,vgroup_122,unclear,1,2,FALSE,TRUE,phase
Bacteria,Pseudomonadota,Pasteurellaceae,Unclassified,vgroup_145,lysogenic,2,2,TRUE,FALSE,iphop
Bacteria,Actinomycetota,Streptomycetaceae,Unclassified,vgroup_187,lysogenic,2,2,TRUE,FALSE,iphop
Bacteria,Actinomycetota,Geodermatophilaceae,Caudoviricetes; Unclassified order,vgroup_91,lysogenic,2,2,TRUE,TRUE,both
