MAG,Phyllostomus discolor (080613_8),Phyllostomus discolor (080813_19),Mimon crenulatum (080813_7),Mimon crenulatum (080913_2),Phyllostomus hastatus (080913_7),Phyllostomus hastatus (080613_5),Phyllostomus hastatus (080913_8)
MAG_1,2.3900623369792906e-4,4.997128521639038e-7,2.543754023015088e-9,1.0075179152110714e-8,0,2.713878513725523e-5,3.4225909091985764e-7
MAG_10,6.040474379211791e-6,4.556889538357591e-9,8.901093817222208e-9,1.5994796942023329e-7,0,2.0748893645381228e-6,9.702278406145212e-9
MAG_100,6.302113020002512e-9,1.2846812254011695e-9,0,3.5432191326597554e-6,0,0,0
MAG_101,0,1.2506493996172015e-8,0,8.441376310139882e-6,0,0,0
MAG_102,2.5479135224497605e-8,0,1.186362527188847e-10,6.978231900347598e-5,0,4.28682945549151e-10,0
MAG_103,2.2822765399624635e-8,0,2.5979900332431394e-9,2.6286811423361416e-5,0,4.8228441417565665e-12,0
MAG_104,1.689839114163259e-8,0,2.5267036166827685e-10,7.73697258076434e-6,0,8.220354956156631e-12,0
MAG_105,4.5752474595603565e-7,0,1.1909099720918011e-7,1.651910520571699e-6,0,2.8977018535967672e-9,1.883926697283796e-9
MAG_106,5.922216634822544e-10,0,0,4.472693102222777e-5,0,0,0
MAG_107,0,0,0,6.852638388396432e-6,0,0,0
MAG_108,1.067664431360764e-6,2.7897536706005014e-7,9.257773349963246e-9,1.2744770369300957e-5,5.572958310000707e-6,4.725412711387565e-8,1.2675873946389409e-9
MAG_109,2.103691275696013e-8,0,0,6.5392121871998806e-6,0,4.001068383051881e-10,0
MAG_11,0,0,0,0,0,1.1309963209572438e-5,3.6746534298609356e-7
MAG_110,0,0,1.8905800460888906e-9,2.801733666975485e-6,0,0,0
MAG_111,4.840478109637226e-7,1.883651759396543e-7,7.539319279752676e-9,1.7221752061981758e-5,1.898988400112819e-7,2.626801655691794e-10,8.075946870582587e-11
MAG_112,0,0,0,1.4345409879255774e-5,0,1.2539986720605856e-10,0
MAG_113,1.4657711522629478e-8,4.081718929165099e-9,3.2202580718669844e-11,8.42223379002889e-5,0,7.368023414425515e-12,0
MAG_114,1.2862037155793258e-5,1.4065599482405533e-4,1.732262779450039e-5,3.0191882194475192e-6,7.57945918171355e-5,1.505902898274041e-8,1.0441545084370764e-8
MAG_115,0,0,0,2.7913986696994343e-6,0,1.0212144187578324e-11,0
MAG_116,2.2043570161412925e-8,0,0,4.7590682389519406e-5,0,1.8637304898918624e-10,0
MAG_117,1.0196430865751375e-8,0,0,2.7591174475802814e-5,0,1.3939385820211454e-11,0
MAG_118,1.613955636418422e-9,0,0,4.2925672717393984e-5,0,4.0159568908126285e-12,0
MAG_119,1.2596506524860248e-7,4.21549492027464e-10,7.126827959830057e-6,1.60680487892052e-5,0,1.0565311843558275e-11,0
MAG_12,6.203397833190137e-4,2.6452489017276095e-4,1.3617128119924314e-7,1.728839039175273e-7,1.6714794003400304e-5,1.8248795896589172e-5,5.409775054018007e-7
MAG_120,6.341131515899244e-6,8.271817066256134e-7,5.138763020069639e-8,1.5464632847825508e-5,0,4.8416380585094596e-8,1.8349594801686321e-10
MAG_121,0,0,0,1.493476286833861e-6,0,0,0
MAG_122,9.979236267627762e-8,0,0,4.597361407991453e-6,0,0,0
MAG_123,0,0,0,1.6847954123849195e-6,0,1.8192830502581737e-11,0
MAG_124,0,0,8.166785466822208e-9,2.3928567546748676e-6,0,0,0
MAG_125,0,0,6.854907140807703e-8,1.6521179079720428e-6,0,4.343764597677246e-12,0
MAG_126,4.196531023601654e-6,0,0,1.3590508494626432e-6,0,1.0564698428333131e-10,0
MAG_127,1.4681903273908243e-6,0,0,6.742445496052474e-6,0,3.015450472532026e-12,0
MAG_128,0,0,0,3.155559118922517e-6,0,2.369049850840539e-9,0
MAG_129,5.189889047188755e-7,1.3601733896675492e-10,5.368411487346552e-11,9.9187145912695e-7,0,5.848446376106376e-12,0
MAG_13,3.377359804627133e-5,1.191632265883075e-5,2.0749959391351443e-9,2.6395274717341577e-9,0,4.59122370219973e-5,5.409098629855426e-7
MAG_130,0,0,0,3.1421786530896188e-6,0,0,0
MAG_131,5.092857242212617e-7,3.110836511512508e-7,9.924154831850498e-9,3.0423453274992127e-6,8.501131110035545e-6,3.861902170417643e-9,6.330420348356532e-10
MAG_132,2.438039373661863e-6,5.409512645827377e-6,7.53153906218413e-9,8.21307813593555e-5,0,4.2353326832867675e-9,7.49827321667427e-11
MAG_133,0,0,0,4.689894866410694e-6,0,0,0
MAG_134,8.465917722334115e-9,0,1.330093254819493e-10,3.563935615743678e-6,0,1.93267964840581e-10,0
MAG_135,4.3670605274988994e-7,8.089477756997205e-8,3.34621701105469e-9,4.630765257176725e-6,0,1.2249076977459435e-9,0
MAG_136,1.3992412754490322e-7,3.361085189909226e-10,0,2.5580009479152755e-6,0,1.099665897200622e-10,0
MAG_137,0,0,0,1.0960513125542196e-6,0,0,0
MAG_138,0,0,0,5.26062370498451e-6,0,0,0
MAG_139,0,0,0,1.03222160150323e-6,0,2.39903374725104e-11,0
MAG_14,0,0,0,0,0,3.4520551176403426e-6,0
MAG_140,3.15138771901321e-4,0,0,5.493717288885459e-6,0,0,0
MAG_141,0,0,0,7.59728711494148e-6,0,0,0
MAG_142,7.643517062538227e-10,0,3.20480932078909e-9,5.383365078333931e-6,0,0,6.46905824575958e-10
MAG_143,1.1213897402489305e-7,9.169880864129214e-8,1.168031907225611e-10,9.632137440013531e-6,0,1.071940976953056e-10,0
MAG_144,5.2443960578620174e-8,0,9.313714294489385e-10,2.798881424478882e-6,0,2.748182049749401e-10,0
