clean_MAG,MAG,OTU_ID,Indicator taxa,host
MAG_35,raw-080613-5-ph_rerun_bin_50,mOTU_3231,*(P) Bacillota; (G) Streptococcus*,Phyllostomus hastatus
MAG_39,raw-080613-5-ph_rerun_bin_56,mOTU_100477,*(P) Bacillota; (G) Abiotrophia*,Phyllostomus hastatus
MAG_39,raw-080613-5-ph_rerun_bin_56,mOTU_30773,*(P) Bacillota; (G) Abiotrophia*,Phyllostomus hastatus
MAG_50,raw-080813-7-mc_bin_7,mOTU_164274,*(P) Bacillota; (S) Enterococcus_A ferrettii*,Mimon crenulatum
MAG_50,raw-080813-7-mc_bin_7,mOTU_133262,*(P) Bacillota; (G) Enterococcus_A*,Mimon crenulatum
MAG_50,raw-080813-7-mc_bin_7,mOTU_171684,*(P) Bacillota; (S) Enterococcus_A ferrettii*,Mimon crenulatum
MAG_50,raw-080813-7-mc_bin_7,mOTU_149498,*(P) Bacillota; (S) Enterococcus_A ferrettii*,Mimon crenulatum
MAG_50,raw-080813-7-mc_bin_7,mOTU_140880,*(P) Bacillota; (S) Enterococcus_A ferrettii*,Mimon crenulatum
MAG_50,raw-080813-7-mc_bin_7,mOTU_38808,*(P) Bacillota; (G) Enterococcus_A*,Mimon crenulatum
MAG_50,raw-080813-7-mc_bin_7,mOTU_7555,*(P) Bacillota; (S) Enterococcus_A ferrettii*,Mimon crenulatum
MAG_50,raw-080813-7-mc_bin_7,mOTU_169940,*(P) Bacillota; (S) Enterococcus_A ferrettii*,Mimon crenulatum
MAG_50,raw-080813-7-mc_bin_7,mOTU_6288,*(P) Bacillota; (S) Enterococcus_A ferrettii*,Mimon crenulatum
MAG_50,raw-080813-7-mc_bin_7,mOTU_78347,*(P) Bacillota; (S) Enterococcus_A pallens*,Mimon crenulatum
MAG_50,raw-080813-7-mc_bin_7,mOTU_94932,*(P) Bacillota; (S) Enterococcus_A ferrettii*,Mimon crenulatum
MAG_50,raw-080813-7-mc_bin_7,mOTU_143873,*(P) Bacillota; (S) Enterococcus_A ferrettii*,Mimon crenulatum
MAG_52,raw-080813-7-mc_bin_10,mOTU_139630,*(P) Thermoproteota; (G) FEN-987*,Mimon crenulatum
MAG_52,raw-080813-7-mc_bin_10,mOTU_77305,*(P) Pseudomonadota; (G) HY038*,Mimon crenulatum
MAG_52,raw-080813-7-mc_bin_10,mOTU_7972,*(P) Pseudomonadota; (G) HY038*,Mimon crenulatum
MAG_53,raw-080813-7-mc_bin_11,mOTU_168074,*(P) Bacillota; (G) Enterococcus_A*,Mimon crenulatum
MAG_53,raw-080813-7-mc_bin_11,mOTU_100042,*(P) Bacillota; (S) Enterococcus_A alishanensis*,Mimon crenulatum
MAG_53,raw-080813-7-mc_bin_11,mOTU_23258,*(P) Bacillota; (S) Enterococcus_A alishanensis*,Mimon crenulatum
MAG_53,raw-080813-7-mc_bin_11,mOTU_142199,*(P) Bacillota; (S) Enterococcus_A alishanensis*,Mimon crenulatum
MAG_53,raw-080813-7-mc_bin_11,mOTU_176036,*(P) Bacillota; (S) Enterococcus_A alishanensis*,Mimon crenulatum
MAG_53,raw-080813-7-mc_bin_11,mOTU_154613,*(P) Bacillota; (S) Enterococcus_A alishanensis*,Mimon crenulatum
MAG_53,raw-080813-7-mc_bin_11,mOTU_140021,*(P) Bacillota; (S) Enterococcus_A alishanensis*,Mimon crenulatum
MAG_53,raw-080813-7-mc_bin_11,mOTU_139855,*(P) Bacillota; (S) Enterococcus_A alishanensis*,Mimon crenulatum
MAG_53,raw-080813-7-mc_bin_11,mOTU_141556,*(P) Bacillota; (S) Enterococcus_A alishanensis*,Mimon crenulatum
