clean_MAG,MAG,OTU_ID,phylum,host_family
MAG_234,raw-080913-8-1-ph_rerun_bin_61,mOTU_100887,Bacillota,Gemellaceae
MAG_196,raw-080913-8-1-ph_bin_57,mOTU_112153,Pseudomonadota,Pasteurellaceae
MAG_77,raw-080913-2_bin_123,mOTU_100661,Bacillota,Gemellaceae
MAG_39,raw-080613-5-ph_rerun_bin_56,mOTU_100477,Bacillota,Aerococcaceae
MAG_193,raw-080913-8-1-ph_bin_48,mOTU_109162,Actinomycetota,Mycobacteriaceae
MAG_230,raw-080913-8-1-ph_rerun_bin_53,mOTU_106147,Bacillota,Streptococcaceae
MAG_200,raw-080913-8-1-ph_bin_64,mOTU_100526,Bacillota,Streptococcaceae
MAG_9,raw-080613-5-ph_rerun_bin_20,mOTU_108822,Actinomycetota,Mycobacteriaceae
MAG_7,raw-080613-5-ph_rerun_bin_18,mOTU_112466,Actinomycetota,Dermatophilaceae
MAG_30,raw-080613-5-ph_rerun_bin_44,mOTU_112348,Bacillota,Staphylococcaceae
MAG_22,raw-080613-5-ph_rerun_bin_35,mOTU_100709,Bacillota,Staphylococcaceae
MAG_13,raw-080613-5-ph_rerun_bin_26,mOTU_109288,Actinomycetota,Dermabacteraceae
MAG_216,raw-080913-8-1-ph_rerun_bin_25,mOTU_98021,Actinomycetota,Mycobacteriaceae
MAG_46,raw-080613-5-ph_rerun_bin_7,mOTU_109299,Actinomycetota,Micromonosporaceae
MAG_9,raw-080613-5-ph_rerun_bin_20,mOTU_108838,Actinomycetota,Mycobacteriaceae
MAG_6,raw-080613-5-ph_rerun_bin_16,mOTU_98154,Actinomycetota,Jatrophihabitantaceae
MAG_29,raw-080613-5-ph_rerun_bin_43,mOTU_109758,Actinomycetota,Mycobacteriaceae
MAG_5,raw-080613-5-ph_rerun_bin_15,mOTU_109455,Actinomycetota,Dermatophilaceae
MAG_31,raw-080613-5-ph_rerun_bin_46,mOTU_112366,Actinomycetota,Mycobacteriaceae
MAG_192,raw-080913-8-1-ph_bin_47,mOTU_101327,Pseudomonadota,Pasteurellaceae
MAG_48,raw-080613-5-ph_rerun_bin_8,mOTU_109235,Actinomycetota,Nakamurellaceae
MAG_16,raw-080613-5-ph_rerun_bin_2,mOTU_98483,Thermoproteota,JANJXX01; Unclassified order; Unclassified family
MAG_25,raw-080613-5-ph_rerun_bin_3,mOTU_109347,Actinomycetota,Streptosporangiaceae
MAG_11,raw-080613-5-ph_rerun_bin_24,mOTU_101485,Actinomycetota,Propionibacteriaceae
MAG_17,raw-080613-5-ph_rerun_bin_30,mOTU_112343,Bacillota,Staphylococcaceae
MAG_25,raw-080613-5-ph_rerun_bin_3,mOTU_109338,Actinomycetota,Streptosporangiaceae
MAG_182,raw-080913-8-1-ph_bin_29,mOTU_95461,Bacillota,Enterococcaceae
MAG_175,raw-080913-8-1-ph_bin_17,mOTU_109017,Actinomycetota,Actinomycetaceae
MAG_180,raw-080913-8-1-ph_bin_26,mOTU_109032,Actinomycetota,Actinomycetaceae
