MAG,domain,phylum,class,order,family,genus,species
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_2_modified,Archaea,Thermoproteota,JANJXX01,,,,
raw-080813-7-mc_raw-080813-7-mc_bin_18_modified,Archaea,Thermoproteota,JANJXX01,,,,
raw-080913-2_bin_3_modified,Archaea,Thermoproteota,JANJXX01,,,,
raw-080913-8-1-ph_rerun_bin_57_modified,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,JAHKLT01,
raw-080913-8-1-ph_rerun_bin_70_modified,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,JAHKLT01,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Gordonia,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Avipropionibacterium,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_12_modified,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_14_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Microlunatus,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_15_modified,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Dermatophilaceae,Janibacter,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_16_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Jatrophihabitantaceae,FW021-bin43,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_18_modified,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Dermatophilaceae,Flexivirga,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_19_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Stackebrandtia,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_20_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_22_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_24_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_25_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Dietzia,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_26_modified,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Dermabacteraceae,Brachybacterium,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_27_modified,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Beutenbergiaceae,Ruania,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_28_modified,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Mammaliicoccus,Mammaliicoccus sciuri
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_30_modified,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus nepalensis
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_31_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_32_modified,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,JAJYSO01,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_33_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Nocardioidaceae,,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_34_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Nocardioidaceae,,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_35_modified,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus kloosii
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_38_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Gordonia,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_39_modified,Bacteria,Actinomycetota,Thermoleophilia,Miltoncostaeales,,,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_3_modified,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_40_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Microlunatus,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_41_modified,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Brevibacteriaceae,Brevibacterium,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_42_modified,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,JAJYSO01,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_43_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Tomitella,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_44_modified,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_46_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_47_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_48_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium avicola
