contig,length,Phyllostomus disoclor (080613_8),Phyllostomus disoclor (080813_19),Mimon crenulatum (080813_7),Mimon crenulatum (080913_2),Phyllostomus hastatus (080613_5),Phyllostomus hastatus (080913_8)
080613_5_ph_rerun_k141_932478,2753,0,0,0,0,4.946986201888163,0
080613_5_ph_rerun_k141_349733,2939,0,0,0,0,47.02719238613188,0.557443915703603
080613_5_ph_rerun_k141_466319,3197,0,0,0,0,5.809255784865541,0
080613_5_ph_rerun_k141_699401,2768,0,0,0,0,30.721098265895954,0.23627167630057805
080613_5_ph_rerun_k141_116828,9428,0,0,0,0,8.246075519728468,0
080613_5_ph_rerun_k141_233396,4490,0,0,0,0,41.320569902048085,0.09795191451469279
080613_5_ph_rerun_k141_583395,3621,0,0,0,0,69.52512424075097,0.08282716731087797
cn_080613_5_ph_rerun_000000000201,10607,0,0,0,0,66.09632422243166,0
080613_5_ph_rerun_k141_816439,5607,0,0,0,0,33.540463458110516,0.8188948306595365
080613_5_ph_rerun_k141_1399476,3959,0,0,0,0,25.442200908632003,0
080613_5_ph_rerun_k141_466885,2724,0,0,0,0,7.378854625550661,0
cn_080613_5_ph_rerun_000000000002,13183,0,0,0,0,8.279083876839072,0
080613_5_ph_rerun_k141_1749478,6579,0,0,0,0,8.735034943786083,0
cn_080613_5_ph_rerun_000000000578,5829,0,0,0,0,15.933104631217839,0
cn_080613_5_ph_rerun_000000000092,6330,0,0,0,0,16.134554643082755,0
080613_5_ph_rerun_k141_1283225,4244,0.913760603204524,0,0,0.09519321394910461,375.3718190386428,1.8242224316682376
080613_5_ph_rerun_k141_234439,3274,0,0,0,0,56.65934065934066,0
080613_5_ph_rerun_k141_584302,3803,0,0,0,0,6.124014713610089,0
080613_5_ph_rerun_k141_1516470,2935,0,0,0,0,5.981620149761743,0
080613_5_ph_rerun_k141_1324,3906,0,0,0,0,10.948822927328557,0
080613_5_ph_rerun_k141_1283552,3750,0,0,0,0,8.636993603411513,0
080613_5_ph_rerun_k141_1750128,3735,0,0,0,0,41.37827715355805,0.20171214553237024
cn_080613_5_ph_rerun_000000000109,5163,0,0,0,0,10.211382113821138,0
080613_5_ph_rerun_k141_700884,19525,0.04342927378879443,0,0,0,69.55413295093722,0
080613_5_ph_rerun_k141_1400497,2859,0,0,0,0,1975.932215234102,0
080613_5_ph_rerun_k141_1400562,2723,0,0,0,0,10.093176815847395,0
080613_5_ph_rerun_k141_817272,2588,0,0,0,0,11.889489953632149,0
080613_5_ph_rerun_k141_352084,4580,0,0,0,0,53.08471615720524,0
cn_080613_5_ph_rerun_000000000355,42215,0,0,0,0,23.838457529963524,0
080613_5_ph_rerun_k141_585054,2712,0,0,0,0,12.5,0
080613_5_ph_rerun_k141_1517376,4774,0,0,0,0,6.652847571189279,0
cn_080613_5_ph_rerun_000000000611,16166,0,0,0,0,10.393493320138544,0
