vOTU,Virulent,Temperate,provirus,completeness,checkv_quality,lifestyle,lifestyle_prediction_method
080613_5_ph_rerun_k141_1001330,0.87165057290627,0.12834942709373023,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1002627,0.8118782016546146,0.1881217983453865,No,0.42,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1004049,0.8118782016546146,0.1881217983453865,No,2.19,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1008584,0.997522026431718,0.0024779735682819385,No,3.08,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1012447,0.901523988689282,0.09847601131071795,No,9.73,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1012536,0.9509467565391638,0.04905324346083602,No,9.77,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_101722,0.9107929515418502,0.08920704845814986,No,11.33,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1017245,0.9706919125995302,0.029308087400469807,No,4.94,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1019267,0,1,Yes,6.28,Low-quality,lysogenic,checkv & bacphlip
080613_5_ph_rerun_k141_1024330,0.7752202643171807,0.2247797356828194,No,100,High-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1024545,0.931779094256249,0.06822090574375078,No,2.98,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1027364,0.8800312501502798,0.11996874984972046,No,3.08,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_102913,0.9602261948935176,0.03977380510648237,No,5.32,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1030887,0.8118782016546146,0.1881217983453865,No,12.62,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1032780,0.8118782016546146,0.1881217983453865,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1037047,0.8654276313455218,0.13457236865447844,No,4.06,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1037060,0.8118782016546146,0.1881217983453865,No,5.15,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1037814,0.8486565181674894,0.15134348183251045,No,8.77,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1039152,0.857871286699274,0.14212871330072635,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1041828,0.8630474981530186,0.1369525018469819,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_104203,0.8351289959503753,0.16487100404962501,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1042998,0.9261833783390585,0.07381662166094104,No,1.81,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1047804,0.975,0.025,No,6.53,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1048024,0.8800312501502798,0.11996874984972046,No,9.16,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1048898,0.8353776216825656,0.16462237831743523,No,5.57,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1052049,0.9702643171806166,0.029735682819383262,No,3.6,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1055773,0.931779094256249,0.06822090574375078,No,5.2,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1058337,0.9168794290555962,0.08312057094440387,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_106147,0.891396758414508,0.10860324158549195,No,NA,Not-determined,lytic,checkv & bacphlip
