contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
080613_5_ph_rerun_k141_932478	2753	No	NA	8	1	0	Low-quality	Genome-fragment	1.71	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_349733	2939	No	NA	1	0	1	Low-quality	Genome-fragment	2.14	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
080613_5_ph_rerun_k141_466319	3197	No	NA	8	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
080613_5_ph_rerun_k141_699401	2768	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
080613_5_ph_rerun_k141_116828	9428	No	NA	27	3	1	Low-quality	Genome-fragment	5.75	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_233396	4490	No	NA	8	1	0	Low-quality	Genome-fragment	5.13	AAI-based (medium-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_583395	3621	No	NA	7	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
cn_080613_5_ph_rerun_000000000201	10607	No	NA	13	1	1	Low-quality	Genome-fragment	15.87	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_816439	5607	No	NA	9	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
080613_5_ph_rerun_k141_1399476	3959	No	NA	6	5	0	Low-quality	Genome-fragment	4.2	AAI-based (high-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_466885	2724	No	NA	10	1	0	Low-quality	Genome-fragment	1.73	HMM-based (lower-bound)	0.0	1.0	
cn_080613_5_ph_rerun_000000000002	13183	No	NA	20	1	1	Low-quality	Genome-fragment	5.47	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_1749478	6579	No	NA	7	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
cn_080613_5_ph_rerun_000000000578	5829	No	NA	13	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
cn_080613_5_ph_rerun_000000000092	6330	No	NA	14	1	0	Low-quality	Genome-fragment	3.96	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_1283225	4244	No	NA	3	0	1	Low-quality	Genome-fragment	2.3	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
080613_5_ph_rerun_k141_234439	3274	No	NA	4	2	0	Low-quality	Genome-fragment	8.49	AAI-based (high-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_584302	3803	Yes	1164	5	1	2	Low-quality	Genome-fragment	10.9	AAI-based (high-confidence)	69.39	1.0	
080613_5_ph_rerun_k141_1516470	2935	No	NA	6	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
080613_5_ph_rerun_k141_1324	3906	No	NA	9	6	0	Low-quality	Genome-fragment	9.19	AAI-based (high-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_1283552	3750	No	NA	6	3	0	Low-quality	Genome-fragment	2.52	AAI-based (high-confidence)	0.0	1.0	
