MAG,contig,length
MAG_1,c_000000000001,51788
MAG_1,c_000000000002,186194
MAG_1,c_000000000003,1651544
MAG_1,c_000000000004,946704
MAG_1,c_000000000005,146788
MAG_1,c_000000000006,605243
MAG_1,c_000000000007,808864
MAG_1,c_000000000008,1289626
MAG_1,c_000000000009,1186390
MAG_1,c_000000000010,1131935
MAG_1,c_000000000011,1285659
MAG_1,c_000000000012,1628270
MAG_1,c_000000000013,497500
MAG_1,c_000000000014,647855
MAG_1,c_000000000015,1640892
MAG_1,c_000000000016,263554
MAG_1,c_000000000017,1655214
MAG_1,c_000000000018,1453416
MAG_1,c_000000000019,471272
MAG_1,c_000000000020,7882
MAG_1,c_000000000021,1745848
MAG_1,c_000000000022,471709
MAG_1,c_000000000023,1097065
MAG_1,c_000000000024,1515597
MAG_1,c_000000000025,1603835
MAG_1,c_000000000026,1566283
MAG_1,c_000000000027,1510054
MAG_1,c_000000000028,479480
MAG_1,c_000000000029,304840
MAG_1,c_000000000030,600617
MAG_1,c_000000000031,1043099
MAG_1,c_000000000032,1650419
MAG_1,c_000000000033,1093419
MAG_1,c_000000000034,838632
MAG_1,c_000000000035,505525
MAG_1,c_000000000036,436221
MAG_1,c_000000000037,130756
MAG_1,c_000000000038,936170
MAG_1,c_000000000039,1815001
MAG_1,c_000000000040,1106579
MAG_1,c_000000000041,1408940
MAG_1,c_000000000042,278624
MAG_1,c_000000000043,148572
MAG_1,c_000000000044,936721
MAG_1,c_000000000045,1337062
MAG_1,c_000000000046,1541791
MAG_1,c_000000000047,1763778
MAG_1,c_000000000048,882172
MAG_1,c_000000000049,395792
MAG_1,c_000000000050,1486753
MAG_1,c_000000000051,1059460
MAG_1,c_000000000052,1371674
MAG_1,c_000000000053,480585
MAG_1,c_000000000054,965379
MAG_1,c_000000000055,521464
MAG_1,c_000000000056,1678527
MAG_1,c_000000000057,1342588
MAG_1,c_000000000058,953505
MAG_1,c_000000000059,129631
MAG_1,c_000000000060,1301686
MAG_1,c_000000000061,1181477
MAG_1,c_000000000062,1645388
MAG_1,c_000000000063,1733254
MAG_1,c_000000000064,962360
MAG_1,c_000000000065,469253
MAG_1,c_000000000066,1427286
MAG_1,c_000000000067,1101062
MAG_1,c_000000000068,1643427
MAG_1,c_000000000069,1762390
MAG_1,c_000000000070,1782806
MAG_1,c_000000000071,1282868
MAG_1,c_000000000072,586174
MAG_1,c_000000000073,1111681
MAG_1,c_000000000074,277091
MAG_1,c_000000000075,554135
MAG_1,c_000000000076,1814789
MAG_1,c_000000000077,659458
MAG_1,c_000000000078,1144003
MAG_1,c_000000000079,1284159
MAG_1,c_000000000080,1309781
MAG_1,c_000000000081,817410
MAG_1,c_000000000082,1851024
MAG_1,c_000000000083,751194
MAG_1,c_000000000084,1214088
MAG_1,c_000000000085,1214071
MAG_1,c_000000000086,527001
MAG_1,c_000000000087,995409
MAG_1,c_000000000088,587785
MAG_1,c_000000000089,1801883
MAG_1,c_000000000090,232926
MAG_1,c_000000000091,623557
MAG_1,c_000000000092,1573312
MAG_1,c_000000000093,1446292
MAG_1,c_000000000094,1199
MAG_1,c_000000000095,1432362
MAG_1,c_000000000096,836399
MAG_1,c_000000000097,939068
MAG_1,c_000000000098,1678158
MAG_1,c_000000000099,234026
MAG_1,c_000000000100,14895
MAG_1,c_000000000101,707184
MAG_1,c_000000000102,360823
MAG_1,c_000000000103,893652
MAG_1,c_000000000104,858275
MAG_1,c_000000000105,237938
MAG_1,c_000000000106,1191057
MAG_1,c_000000000107,596855
MAG_1,c_000000000108,1069090
MAG_1,c_000000000109,1636806
MAG_1,c_000000000110,1369511
MAG_1,c_000000000111,866638
MAG_1,c_000000000112,194372
MAG_1,c_000000000113,1439648
MAG_1,c_000000000114,829693
MAG_1,c_000000000115,1191492
MAG_1,c_000000000116,850471
MAG_1,c_000000000117,6566
MAG_1,c_000000000118,469811
MAG_1,c_000000000119,875102
MAG_1,c_000000000120,1594768
MAG_1,c_000000000121,90533
MAG_1,c_000000000122,1674498
MAG_1,c_000000000123,1518240
MAG_1,c_000000000124,936234
MAG_1,c_000000000125,1550756
MAG_1,c_000000000126,1177355
MAG_1,c_000000000127,1803715
MAG_1,c_000000000128,1768583
MAG_1,c_000000000129,580810
MAG_1,c_000000000130,1527160
MAG_1,c_000000000131,38348
MAG_1,c_000000000132,178697
MAG_1,c_000000000133,948936
MAG_1,c_000000000134,1189616
MAG_1,c_000000000135,1617777
MAG_1,c_000000000136,560
MAG_2,c_000000000137,1004840
MAG_2,c_000000000138,1400483
MAG_2,c_000000000139,936107
MAG_2,c_000000000140,1540372
MAG_2,c_000000000141,1391145
MAG_2,c_000000000142,781097
MAG_2,c_000000000143,446362
MAG_2,c_000000000144,244356
MAG_2,c_000000000145,1236065
MAG_2,c_000000000146,897630
MAG_2,c_000000000147,81568
MAG_2,c_000000000148,581367
MAG_2,c_000000000149,1518272
MAG_2,c_000000000150,1752200
MAG_2,c_000000000151,472805
MAG_2,c_000000000152,1088326
MAG_2,c_000000000153,1268094
MAG_2,c_000000000154,1175470
MAG_2,c_000000000155,274129
MAG_2,c_000000000156,468717
MAG_2,c_000000000157,538763
MAG_2,c_000000000158,1515029
MAG_2,c_000000000159,163069
MAG_2,c_000000000160,1112763
MAG_2,c_000000000161,612604
MAG_2,c_000000000162,614416
MAG_2,c_000000000163,1685768
MAG_2,c_000000000164,1747942
MAG_2,c_000000000165,1148178
MAG_2,c_000000000166,1522816
MAG_2,c_000000000167,1657089
MAG_2,c_000000000168,1218035
MAG_2,c_000000000169,750402
MAG_2,c_000000000170,64743
MAG_2,c_000000000171,474461
MAG_2,c_000000000172,1676991
MAG_2,c_000000000173,1169812
MAG_2,c_000000000174,184323
MAG_2,c_000000000175,1167074
MAG_2,c_000000000176,193459
MAG_2,c_000000000177,836464
MAG_2,c_000000000178,970309
MAG_2,c_000000000179,1247328
MAG_2,c_000000000180,231662
MAG_2,c_000000000181,492768
MAG_2,c_000000000182,1518646
MAG_2,c_000000000183,1769471
MAG_2,c_000000000184,314904
MAG_2,c_000000000185,1009062
MAG_2,c_000000000186,1120965
MAG_2,c_000000000187,1245726
MAG_2,c_000000000188,1634877
MAG_2,c_000000000189,264665
MAG_2,c_000000000190,721343
MAG_2,c_000000000191,1283501
MAG_2,c_000000000192,152923
MAG_2,c_000000000193,1567584
MAG_2,c_000000000194,962145
MAG_2,c_000000000195,1458442
MAG_2,c_000000000196,902577
MAG_2,c_000000000197,1322239
MAG_2,c_000000000198,294707
MAG_2,c_000000000199,233187
MAG_2,c_000000000200,520066
MAG_2,c_000000000201,1319585
MAG_2,c_000000000202,155416
MAG_2,c_000000000203,791907
MAG_2,c_000000000204,131404
MAG_2,c_000000000205,1613473
MAG_2,c_000000000206,1800807
MAG_2,c_000000000207,582591
MAG_2,c_000000000208,14439
MAG_2,c_000000000209,743833
MAG_2,c_000000000210,1394710
MAG_2,c_000000000211,517154
MAG_2,c_000000000212,1523347
MAG_2,c_000000000213,1047327
MAG_2,c_000000000214,1577502
MAG_2,c_000000000215,1230093
MAG_2,c_000000000216,1702697
MAG_2,c_000000000217,351677
MAG_2,c_000000000218,403030
MAG_2,c_000000000219,1563974
MAG_2,c_000000000220,1644237
MAG_2,c_000000000221,201844
MAG_2,c_000000000222,24556
MAG_2,c_000000000223,486587
MAG_2,c_000000000224,1634766
MAG_2,c_000000000225,931630
MAG_2,c_000000000226,1588913
MAG_2,c_000000000227,1755778
MAG_2,c_000000000228,848799
MAG_2,c_000000000229,9836
MAG_2,c_000000000230,1139399
MAG_2,c_000000000231,469138
MAG_2,c_000000000232,1071434
MAG_2,c_000000000233,612380
MAG_2,c_000000000234,467600
MAG_2,c_000000000235,940011
MAG_2,c_000000000236,580984
MAG_2,c_000000000237,1329836
MAG_2,c_000000000238,953338
MAG_2,c_000000000239,1704515
MAG_2,c_000000000240,788246
MAG_2,c_000000000241,452205
MAG_2,c_000000000242,135070
MAG_2,c_000000000243,1572565
MAG_2,c_000000000244,469967
MAG_2,c_000000000245,1051784
MAG_2,c_000000000246,116950
MAG_2,c_000000000247,609915
MAG_2,c_000000000248,1285073
MAG_2,c_000000000249,498471
MAG_2,c_000000000250,886305
MAG_2,c_000000000251,1281288
MAG_2,c_000000000252,1098
MAG_2,c_000000000253,398981
MAG_2,c_000000000254,1056540
MAG_2,c_000000000255,585311
MAG_2,c_000000000256,287774
MAG_2,c_000000000257,1316800
MAG_2,c_000000000258,545648
MAG_2,c_000000000259,1473958
MAG_2,c_000000000260,744789
MAG_2,c_000000000261,958286
MAG_2,c_000000000262,726499
MAG_2,c_000000000263,125570
MAG_2,c_000000000264,1505277
MAG_2,c_000000000265,1168966
MAG_2,c_000000000266,589058
MAG_2,c_000000000267,1771087
MAG_2,c_000000000268,758617
MAG_2,c_000000000269,1028634
MAG_2,c_000000000270,938597
MAG_2,c_000000000271,256300
MAG_2,c_000000000272,580864
MAG_2,c_000000000273,1172561
MAG_2,c_000000000274,138605
MAG_2,c_000000000275,1822541
MAG_2,c_000000000276,1555751
