contig,length,Phyllostomus disoclor (080613_8),Phyllostomus disoclor (080813_19),Mimon crenulatum (080813_7),Mimon crenulatum (080913_2),Phyllostomus hastatus (080613_5),Phyllostomus hastatus (080913_8)
080613_5_ph_rerun_k141_932478,2753,0,0,0,0,83.32101060849868,0
080613_5_ph_rerun_k141_349733,2939,0,0,0,0,741.9412313858561,30.76785330482208
080613_5_ph_rerun_k141_466319,3197,0,0,0,0,84.25543092260675,0
080613_5_ph_rerun_k141_699401,2768,0,0,0,0,514.6247783543139,13.846537284230244
080613_5_ph_rerun_k141_116828,9428,0,0,0,0,40.555314653753655,0
080613_5_ph_rerun_k141_233396,4490,0,0,0,0,426.7170569388728,3.538850292026654
080613_5_ph_rerun_k141_583395,3621,0,0,0,0,890.293679264249,3.710563657261684
cn_080613_5_ph_rerun_000000000201,10607,0,0,0,0,288.9380785589419,0
080613_5_ph_rerun_k141_816439,5607,0,0,0,0,277.3693983699694,23.69153369881145
080613_5_ph_rerun_k141_1399476,3959,0,0,0,0,297.9814418748188,0
080613_5_ph_rerun_k141_466885,2724,0,0,0,0,125.60354361846565,0
cn_080613_5_ph_rerun_000000000002,13183,0,0,0,0,29.11977880374949,0
080613_5_ph_rerun_k141_1749478,6579,0,0,0,0,61.56371252500657,0
cn_080613_5_ph_rerun_000000000578,5829,0,0,0,0,126.74370374502907,0
cn_080613_5_ph_rerun_000000000092,6330,0,0,0,0,118.18798094142971,0
080613_5_ph_rerun_k141_1283225,4244,30.12328378631782,0,0,0.8151062217953866,4101.156393397701,69.72652462138596
080613_5_ph_rerun_k141_234439,3274,0,0,0,0,802.4405788866992,0
080613_5_ph_rerun_k141_584302,3803,0,0,0,0,74.66721300035259,0
080613_5_ph_rerun_k141_1516470,2935,0,0,0,0,94.49977322017673,0
080613_5_ph_rerun_k141_1324,3906,0,0,0,0,129.97362580855977,0
080613_5_ph_rerun_k141_1283552,3750,0,0,0,0,106.79511100600217,0
080613_5_ph_rerun_k141_1750128,3735,0,0,0,0,513.690860998344,8.760664429940093
cn_080613_5_ph_rerun_000000000109,5163,0,0,0,0,91.70699103103652,0
080613_5_ph_rerun_k141_700884,19525,0.31119799030198614,0,0,0,165.17789980461805,0
080613_5_ph_rerun_k141_1400497,2859,0,0,0,0,32046.302497994762,0
080613_5_ph_rerun_k141_1400562,2723,0,0,0,0,171.87008089109275,0
080613_5_ph_rerun_k141_817272,2588,0,0,0,0,213.01931976645974,0
080613_5_ph_rerun_k141_352084,4580,0,0,0,0,537.4326694653765,0
cn_080613_5_ph_rerun_000000000355,42215,0,0,0,0,26.183723040929653,0
080613_5_ph_rerun_k141_585054,2712,0,0,0,0,213.7176396485245,0
080613_5_ph_rerun_k141_1517376,4774,0,0,0,0,64.61676323702473,0
cn_080613_5_ph_rerun_000000000611,16166,0,0,0,0,29.81116910327515,0
080613_5_ph_rerun_k141_1634036,3187,0,0,0,0,406.71064787079587,3.1273675640893455
080613_5_ph_rerun_k141_1401122,3743,0,0,0,0,803.3067400195849,36.65162002100981
080613_5_ph_rerun_k141_1401281,2711,0,0,0,0,160.4623669714476,0
080613_5_ph_rerun_k141_817925,6556,0,0,0,0,294.23489187409933,0
cn_080613_5_ph_rerun_000000000598,25689,0,0,0,0,26.566747463025536,0
080613_5_ph_rerun_k141_1751446,2655,0,0,0,0,814.4174498213735,66.29356232246629
cn_080613_5_ph_rerun_000000000060,8659,0,0,0,0,45.33561342588421,0
cn_080613_5_ph_rerun_000000000286,14541,0,0,0,0,35.35165644424881,0
080613_5_ph_rerun_k141_1751820,3268,0,0,0,0,1292.4604843083796,108.11588076217696
080613_5_ph_rerun_k141_1751880,2610,0,0,0,0,105.8045381543959,0
080613_5_ph_rerun_k141_935811,3002,0,0,0,0,124.09055684521508,0
080613_5_ph_rerun_k141_702425,4992,0,0,0,0,6145.141131272203,2626.5240254886107
080613_5_ph_rerun_k141_818609,2534,20.900690404389813,0,0,0,1576.7228930280676,5.099071624642178
080613_5_ph_rerun_k141_1285182,3612,0,0,0,0,807.9938494737321,77.71057756219001
080613_5_ph_rerun_k141_1052049,3048,0,0,0,0,116.43073057690044,0
cn_080613_5_ph_rerun_000000000148,15525,0,0,0,0,154.99294011250066,0
cn_080613_5_ph_rerun_000000000385,12689,0,0,0,0,30.889387896194062,0
080613_5_ph_rerun_k141_120540,3845,0,0,0,0,70.17999107205137,0
cn_080613_5_ph_rerun_000000000562,5056,0,0,0,0,1050.3135700590028,0
cn_080613_5_ph_rerun_000000000193,7462,0,0,0,0,120.75494118086071,10.619043297167794
080613_5_ph_rerun_k141_818932,3613,0,0,0,0,286.0986005633487,0
080613_5_ph_rerun_k141_353329,5034,0,0,0,0,106.88858204619739,0
080613_5_ph_rerun_k141_1402146,2639,0,0,0,0,81.2679011501498,0
080613_5_ph_rerun_k141_1402162,4937,0,0,0,0,74.69073440720064,0
cn_080613_5_ph_rerun_000000000014,12019,0,0,0,0,83.37403981632283,0
cn_080613_5_ph_rerun_000000000358,15687,0,0,0,0,28.344363744456864,0
cn_080613_5_ph_rerun_000000000609,43062,0,0,0,0,104.02246692895386,0
cn_080613_5_ph_rerun_000000000393,5012,0,0,0,0,59.17077343068177,0
080613_5_ph_rerun_k141_1635453,4836,0,0,0,0,4772.012077677275,0
080613_5_ph_rerun_k141_2991,2935,0,0,0,0,100.75889100942707,0
080613_5_ph_rerun_k141_1169517,3233,0,0,0,0,12942.794818926208,5117.879660100885
